[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830]   downpayment_amount: 0.00, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830]   total_amount: 2288.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830]   missing_items_fees: 0.00, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830]   penalty_amount: 0.00, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830]   --> Total Payments: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830]   --> Total Charges: 2288.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830]   --> Current paid_status: Unpaid, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830]   --> Condition check: totalPayments >= totalCharges ? NO, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830]   --> totalCharges > 0 ? YES, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830]   --> currentPaidStatus !== 'Paid' ? YES, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:07.821151 2026] [php:notice] [pid 5348:tid 1932] [client ::1:49384] === DELETE BOOKING INVENTORY DEBUG ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:07.821151 2026] [php:notice] [pid 5348:tid 1932] [client ::1:49384] Booking ID: 1121, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:07.821688 2026] [php:notice] [pid 5348:tid 1932] [client ::1:49384] Missing Items List: , referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:07.821688 2026] [php:notice] [pid 5348:tid 1932] [client ::1:49384] No missing items to restore, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:07.821688 2026] [php:notice] [pid 5348:tid 1932] [client ::1:49384] Total items restored: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:07.821688 2026] [php:notice] [pid 5348:tid 1932] [client ::1:49384] === END DELETE BOOKING INVENTORY DEBUG ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139391 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === CONFIRM_BOOKING DEBUG ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139391 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] POST additional_capacity isset: YES, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139391 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] POST additional_capacity raw value: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139962 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] Processed additional_guest value: 0, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:36.139962 2026] [php:notice] [pid 5348:tid 1896] [client ::1:54793] === DISCOUNT DATA FROM POST ===, referer: http://localhost:8080/HMS/Booking.html
